text,aspect_term,from,to,polarity
"Navigation through the computer is far superior compared to Windows operating systems, as well.",Navigation,0,10,1
"Navigation through the computer is far superior compared to Windows operating systems, as well.",Windows operating systems,60,85,-1
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen,4,10,-1
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen size,95,106,-1
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",bulk,125,129,-1
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",music software,31,45,-1
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",software,85,93,1
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",picture,11,18,-1
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",video,20,25,-1
The much lauded combined touch pad and clicker is a nightmare.,combined touch pad and clicker,16,46,-1
"The Unibody construction is solid, sleek and beautiful.",Unibody construction,4,24,1
This MacBook is an outstanding product with great value.,value,50,55,1
I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,Windows,20,27,-1
I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,screen hinges,95,108,-1
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,BATTERY,30,37,-1
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,SERVICE,140,147,-1
and plenty of storage with 250 gb(though I will upgrade this and the ram..),storage,14,21,1
and plenty of storage with 250 gb(though I will upgrade this and the ram..),ram,69,72,0
"No temporary replacement, they are out of replacements because ""many computers had problems with the Nvidia chipset""-Inquired status of repair.",Nvidia chipset,101,115,-1
I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.,extended warranty,83,100,0
"Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.",Programs,0,8,-1
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,CHARGE TIME,30,41,-1
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",size,21,25,-1
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",consistancy,30,41,-1
"the key bindings take a little getting used to, but have loved the Macbook Pro.",key bindings,4,16,-1
Keyboard is reasonable size.,Keyboard,0,8,1
Keyboard is reasonable size.,size,23,27,1
I find myself using the 10-key more than I thought I would.,10-key,24,30,1
Fan noise: The fan made a constant hissing noise in the background.,Fan,0,3,-1
Fan noise: The fan made a constant hissing noise in the background.,fan,15,18,-1
"The screen is bright and clear, the operating system is solid and friendly to a novice.",screen,4,10,1
"The screen is bright and clear, the operating system is solid and friendly to a novice.",operating system,36,52,1
It has a .1 ghz faster processor and a stock 500gb hard drive.,processor,23,32,1
It has a .1 ghz faster processor and a stock 500gb hard drive.,500gb hard drive,45,61,1
The feature are good enough for what I need.,feature,4,11,1
"Finally, the biggest problem has been tech support.",tech support,38,50,-1
""" This isn't a big deal, I haven't noticed the issue with DVDs or other media, only through USB output.",USB output,92,102,-1
With Windows laptops a wireless mouse is an absolute must.,wireless mouse,23,37,0
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",size,57,61,1
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",screen,74,80,1
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Windows,14,21,0
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Linux,22,27,0
But if you're willing to pay another 200 dollar for a windows disc.,windows disc,54,66,0
Very good quality and well made.,quality,10,17,1
"I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.",touchpad,86,94,1
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,video card,102,112,0
It had the full sized touch pad with 2 buttons instead of just one.,touch pad,22,31,0
"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",external mouse,65,79,0
It was super easy to set up and Is really easy to get used to.,set up,21,27,1
"The only thing that can be updated is the video, other than that you're all set.",video,42,47,-1
Its a good laptop for its value.,value,26,31,1
Then the hard drive failed;,hard drive,9,19,-1
"Plain and simple, it(laptop) runs great and loads fast.",runs,29,33,1
"Plain and simple, it(laptop) runs great and loads fast.",loads,44,49,1
of course my warranty runs out next month.,warranty,13,21,0
The capabilities using that program alone made me want a Mac.,program,28,35,1
"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",disk throughput,124,139,0
"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",spinning beachball,21,39,-1
"I have found also, it is very easy to be able to access wireless internet access;",wireless internet access,56,80,1
This is a great value for the money.,value,16,21,1
"It was a great laptop, ran great and was really fast.",ran,23,26,1
The battery has never worked well.,battery,4,11,-1
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,company,110,117,-1
The only problem is a lack of screen resolutions!,screen resolutions,30,48,-1
"Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.",carry,54,59,1
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,keyboard,14,22,-1
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,edges,81,86,-1
"It has many great programs, such as ILife, iPhotos and others.",programs,18,26,1
"It has many great programs, such as ILife, iPhotos and others.",ILife,36,41,1
"It has many great programs, such as ILife, iPhotos and others.",iPhotos,43,50,1
"The processor went on me, the fan went and the motherboard went.",processor,4,13,-1
"The processor went on me, the fan went and the motherboard went.",fan,30,33,-1
"The processor went on me, the fan went and the motherboard went.",motherboard,47,58,-1
It is very well built.,built,16,21,1
I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,performance,59,70,1
The screen resolution was exactly what I was looking for.,screen resolution,4,21,1
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Snow Leopard,26,38,1
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",CPU,78,81,-1
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Office Mac applications,147,170,-1
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Word,179,183,-1
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Excel,187,192,-1
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",spinning wheel,106,120,-1
There is no number pad to the right of the keyboard which is a bummer.,pad,19,22,-1
There is no number pad to the right of the keyboard which is a bummer.,keyboard,43,51,-1
After 20-30 min the screen of the notebook switched off.,screen,20,26,-1
"If upgrade is possible to the full Windows 7, then I will truly be a very happy geek.",Windows 7,35,44,1
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",programs,156,164,1
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",iLife,170,175,1
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",iWork,180,185,1
10 hours of battery life is really something else....,battery life,12,24,1
Runs fast and the regular layout keyboard is so much better.,regular layout keyboard,18,41,1
Runs fast and the regular layout keyboard is so much better.,Runs,0,4,1
"All the programs are easy and straight forward on my MacBook Pro, it is clean and organized, which I always strive to be myself.",programs,8,16,1
I reinstalled windows through the recovery discs and everything seemed good again.,windows,14,21,1
I reinstalled windows through the recovery discs and everything seemed good again.,recovery discs,34,48,1
"Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.",Windows 7 Starter,0,17,1
Support has been lackluster and now I just want a refund.,Support,0,7,-1
"First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.",3 year warranty,50,65,-1
"First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.",online chat service,135,154,-1
""">  iPhoto is probably the best program I have ever worked with: easy and convenient.",iPhoto,4,10,1
I love to write and play with graphics and html programming and my new Toshiba works great on both!,works,79,84,1
My laptop now has no battery.,battery,21,28,-1
It made the computer much easier to use and navigate.,use,36,39,1
It made the computer much easier to use and navigate.,navigate,44,52,1
":-)If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.",battery life,57,69,-1
"Needs longer lasting battery, More than 1 to 2 Hrs.",battery,21,28,-1
in May I started having problems with the USB ports not working.,USB ports,42,51,-1
10 plus hours of battery...,battery,17,24,1
"The design is awesome, quality is unprecedented.",design,4,10,1
"The design is awesome, quality is unprecedented.",quality,23,30,1
The Mac version of Microsoft Office is cheaper than buying the actual and works just as well.,Mac version of Microsoft Office,4,35,1
"The Mac takes about the same amount of starting-up time as the average PC, but keeps itself cleaned up and ready to use.",starting-up time,39,55,1
The Toshiba Net book operates very well.,operates,21,29,1
"the touch pad is fine - again, it's a real touch pad.",touch pad,4,13,1
"the touch pad is fine - again, it's a real touch pad.",touch pad,43,52,1
The pictures are clear as can be.,pictures,4,12,1
"It is also very lightweight, making transporting this computer very easy.",transporting,36,48,1
It's wonderful for computer gaming.,gaming,28,34,1
You have to toss out the wifi card and replace it just to have any sort of network capability.,network capability,75,93,-1
You have to toss out the wifi card and replace it just to have any sort of network capability.,wifi card,25,34,-1
"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",printer,52,59,1
it is very easy for anyone to use an apple and specially the mcbook pro notebook.,use,30,33,1
"The flaws are, this computer is not for computer gamers because of the OS X.",OS X,71,75,-1
They really do have the worlds very worst repair service.,repair service,42,56,-1
They need to stop outsoucing and send some complaint calls to US based customer service agents for those who live in the United states.,customer service agents,71,94,-1
  I was also able to install and use my Photoshop and AfterEffects programs easily.,Photoshop,40,49,1
  I was also able to install and use my Photoshop and AfterEffects programs easily.,AfterEffects programs,54,75,1
It's perfect for everything and runs faster than an average pc!,runs,32,36,1
 Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.,warrenty,135,143,-1
I'm already hooked on the sleek look and dependability that this laptop has shown.,look,32,36,1
I'm already hooked on the sleek look and dependability that this laptop has shown.,dependability,41,54,1
And having to deal with the company has been a even worse nightmare.,company,28,35,-1
  I will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when I do so I don't run accross a situation like this again!,warranty,80,88,0
It has all the features that are necessary for college and if not they are able to be added onto the computer.,features,15,23,1
"I've owned this labtop for less then two months, already the mouse button has broke.",mouse button,61,73,-1
"It did fairly well, other than it's poor performance, overheating and occational blue screen.",performance,41,52,-1
"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",touchpad,4,12,1
"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",buttons,68,75,0
tons of bloatware and junk programs.,programs,27,35,-1
lots of extra space but the keyboard is ridiculously small.,space,14,19,1
lots of extra space but the keyboard is ridiculously small.,keyboard,28,36,-1
It's so bad that I'm thinking I only got half a battery or something.,battery,48,55,-1
"Good keyboard, long battery life, largest hard drive and windows 7.",keyboard,5,13,1
"Good keyboard, long battery life, largest hard drive and windows 7.",battery life,20,32,1
"Good keyboard, long battery life, largest hard drive and windows 7.",hard drive,42,52,1
"Good keyboard, long battery life, largest hard drive and windows 7.",windows 7,57,66,1
The processor is very quick and effective as I load webpages and applications.,processor,4,13,1
The processor is very quick and effective as I load webpages and applications.,applications,65,77,0
The processor is very quick and effective as I load webpages and applications.,load,47,51,1
The processor is very quick and effective as I load webpages and applications.,webpages,52,60,0
My battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars!,battery,3,10,-1
"It pretty much does everything we could ever need, and looks great to boot.",boot,70,74,1
"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",Windows,14,21,-1
"The Macbook is also made better, my computer has never got a virus, and the laptop runs just as fast as the first day I bought it.",runs,83,87,1
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",OpenOffice,47,57,0
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",Firefox,62,69,0
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",price,145,150,1
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",quality,37,44,-1
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",performance,55,66,-1
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",battery life,95,107,1
"I picked it out because it was inexpensive ($400) and I thought it would be a good, easy to use first laptop.",use,92,95,1
MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,PRODUCT KEY,38,49,-1
Pay attention to the specs if you want these options.,specs,21,26,0
It also does not have bluetooth.,bluetooth,22,31,-1
Sure it has the one touch keys but that was the best feature of the computer.,one touch keys,16,30,1
great battery life.,battery life,6,18,1
The real stand out on this computer is the feel of the keyboard and it's speed.,keyboard,55,63,1
The real stand out on this computer is the feel of the keyboard and it's speed.,speed,73,78,1
"At first, the computer seemed a great deal--seemingly high-end specs for a low, low price.",specs,63,68,1
"At first, the computer seemed a great deal--seemingly high-end specs for a low, low price.",price,84,89,1
Delivery was early too.,Delivery,0,8,1
Love the stability of the Mac software and operating system.,stability,9,18,1
Love the stability of the Mac software and operating system.,Mac software,26,38,1
Love the stability of the Mac software and operating system.,operating system,43,59,1
And that probably explains why I've already had my SATA controller go bad within a year of buying it.,SATA controller,51,66,-1
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,video editing,41,54,1
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,performance,82,93,-1
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,mobile video editing,142,162,0
My main reason to convert was the imovie program.,imovie program,34,48,1
It has a faster processor and more ram.,processor,16,25,1
It has a faster processor and more ram.,ram,35,38,1
"Laptops are usually used on the go, so why not give you a better battery?",battery,65,72,-1
I wasn't a big fan of the Netbooks but this one was very well designed.,designed,62,70,1
And the warranty on this macbook pro can last up to 5 years or 1000 battery recharge cycles.,warranty,8,16,1
I still have that stupid bluetooth mouse to!,bluetooth mouse,25,40,-1
"Would like more trendy, high tech features.",features,34,42,-1
Keyboard is great but primary and secondary control buttons could be more durable.,Keyboard,0,8,1
Keyboard is great but primary and secondary control buttons could be more durable.,control buttons,44,59,-1
"I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.",motherboard,37,48,-1
"I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.",motherboard,95,106,-1
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).,Processor,0,9,0
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).,performance,106,117,0
"They say it could be the motherboard again, but Dell",motherboard,25,36,-1
2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,patches,110,117,-1
"Love the speed, especially!",speed,9,14,1
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,system memory,53,66,-1
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,radeon 5850,75,86,-1
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,DDR5,98,102,1
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,DDR3,114,118,-1
"Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.",programs,35,43,1
"Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.",programs,127,135,1
"The speed gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.",speed,4,9,1
Awesome laptop and the perfect size to carry around in college.,size,31,35,1
" A MONTH LATER, we reinstall the OS (Vista).",OS (Vista),33,43,-1
"Some problems can be fixed if you purchase new software, but there is no guarentee.",software,47,55,-1
My real problem with it? The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.,battery life,49,61,-1
The battery life is also relatively good.,battery life,4,16,1
"  I definitely suggest getting an extended warranty, you will probably need it!",extended warranty,34,51,1
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",features,192,200,1
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",programs,205,213,1
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",use,29,32,1
"I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.",pop up windows,20,34,1
"I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.",web programming software,163,187,1
"I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.",pop ups,53,60,0
Memory is upgradable.,Memory,0,6,1
"Web access through the 3G network is so slow, it's very frustrating and VERY DISAPPOINTING.",3G network,23,33,-1
"Web access through the 3G network is so slow, it's very frustrating and VERY DISAPPOINTING.",Web access,0,10,-1
The large screen also helps when you are working in design based programs like Adobe Creative Suite.,screen,10,16,1
The large screen also helps when you are working in design based programs like Adobe Creative Suite.,design based programs,52,73,0
The large screen also helps when you are working in design based programs like Adobe Creative Suite.,Adobe Creative Suite,79,99,0
Moral of the story:-Do not buy anything from companies that do not respect their customers.,companies,45,54,-1
This is my first Dell I heard their customer service was lacking and that they were working on improving it!,customer service,36,52,-1
As well as having the plug in the computer come loose.,plug,22,26,-1
Second HDD cover has walls inside that need to be broken if you what to install one.,HDD cover,7,16,0
If you want more information on macs I suggest going to apple.com and heading towards the macbook page for more information on the applications.,applications,131,143,0
Great product by Apple with the new great looking design.,design,50,56,1
I love the keyboard.,keyboard,11,19,1
"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",iphoto,6,12,1
"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",program,44,51,1
I will have to purchase Spy ware or Nortell for privacy protection.,Spy ware,24,32,0
I will have to purchase Spy ware or Nortell for privacy protection.,Nortell,36,43,0
I was said it's videocard.,videocard,16,25,-1
For the price and what I get out of it has exceeded my expectations.,price,8,13,1
"If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.",drivers,113,120,-1
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,speakers,65,73,-1
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,keyboard,93,101,0
"  Now, as easy as it is to use, and I do think it is a great STARTER laptop.",use,27,30,1
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",Setting,0,7,-1
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",screen size,42,53,-1
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",pixel sizes,89,100,-1
It had some kind of pre installed software update that completely shut the computer down when you clicked it.,pre installed software update,20,49,-1
"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",customer services,111,128,-1
"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",toshiba customer services,160,185,-1
"Also, the space bar makes a noisy click every time you use it.",space bar,10,19,-1
iPhotos is an excellent program for storing and organizing photos.,iPhotos,0,7,1
iPhotos is an excellent program for storing and organizing photos.,program,24,31,1
Other than that its a great performing machine and well meets all my needs and more.,performing,28,38,1
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",software,61,69,-1
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",software,124,132,-1
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",booting,145,152,-1
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",programs,4,12,1
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",iphoto,29,35,1
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",imail,69,74,1
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",imovie,143,149,1
"The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.",software,53,61,0
Comfterbale to use light easy to transport.,use,15,18,1
Comfterbale to use light easy to transport.,transport,33,42,1
The Computer itself is a good product but the repair depot stinks.,repair depot,46,58,-1
I thought the price was great for the specs.,price,14,19,1
I thought the price was great for the specs.,specs,38,43,1
the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,cd drive,37,45,-1
"So, the hard disk capacity really doesn't matter to me.",hard disk capacity,8,26,0
Keys stick periodically and I havent had the laptop for 45 days yet.,Keys,0,4,-1
I also like that you can scroll down in a window using two fingers on the trackpad.,trackpad,74,82,1
Everything from the design to the OS is simple and to the point.,design,20,26,1
Everything from the design to the OS is simple and to the point.,OS,34,36,1
I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.,shipping,22,30,-1
I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,gaming look,22,33,1
I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,gaming performance,70,88,1
This just keeps having it's hard drive replaced!,hard drive,28,38,-1
"When you look at the specs on Apple products in comparison to a Dell or a HP, yes they do seem to offer less for a higher cost.",cost,122,126,-1
The only downfall is the volume control.,volume control,25,39,-1
Very fast boot up and shut down.,boot up,10,17,1
Very fast boot up and shut down.,shut down,22,31,1
I finally decided on this laptop because it was the right price for what I need it.,price,58,63,1
"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.",internet connectivity,3,24,0
"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.",USB wireless card,111,128,0
I had read online that some users were having sound problems.,sound,46,51,-1
"My last computer, a Toshiba, cost only $400, and worked like a charm for many years.",cost,29,33,1
It discharges too quickly.,discharges,3,13,-1
"But to be honest, the compatibility issues and the other little quirks make me think I ll buy a PC next time.",compatibility,22,35,-1
Then it ceased charging at all.,charging,15,23,-1
"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",stand,96,101,0
"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",design,136,142,-1
"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",heat sink,182,191,-1
"*=Webcam is a bit laggy, not the greatest.",Webcam,2,8,-1
"I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program.",trend micro,104,115,0
"I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program.",antiviral program,122,139,0
"The computer continued to give me issues and in Late June it completely died again and I tried to call Acer again to get it fixed and they refused to help me, they said my warrenty was up and hung up on me.",warrenty,172,180,-1
I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,plastic piece,68,81,-1
I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,usb port wires,98,112,0
Wonderful sleek case design is only on the outside.,case design,16,27,1
It is speedy when connected wirelessly to any network regardless if the connection is weak or not.,connection,72,82,0
The pricing is very competitive.,pricing,4,11,1
Connecting to my wireless router via built-in wireless took no time at all.,built-in wireless,37,54,1
This computer is exceptionally thin for it's screen size and processing power.,screen size,45,56,1
This computer is exceptionally thin for it's screen size and processing power.,processing power,61,77,1
I have not had a problem with the applications quitting or freezing.,applications,34,46,1
"Maybe this is virus related, maybe not, but the computer has locked up many times, and on two occasions, the screen has simply gone black.",screen,109,115,-1
This wiped out several programs that were installed on the computer when it was bought.,programs,23,31,-1
"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.",graphics,5,13,1
"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.",graphics,151,159,0
"I have Vista, so I am unable to install and uninstall  some programs.",Vista,7,12,-1
"I have Vista, so I am unable to install and uninstall  some programs.",programs,60,68,-1
"I have Vista, so I am unable to install and uninstall  some programs.",install,32,39,-1
"I have Vista, so I am unable to install and uninstall  some programs.",uninstall ,44,54,-1
"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",screen,4,10,1
"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",keyboard,39,47,1
the mouse jumps around all the time and it clicks stuff i dont want it too.,mouse,4,9,-1
For those that care about noise this thing doesn't really make any;,noise,26,31,1
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",IWORKS,9,15,1
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",Itunes,17,23,1
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",MS Office,32,41,1
The macbooks are small enough to be very portable yet hold tons of information and performance.,performance,83,94,1
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,iWork,74,79,-1
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,software,34,42,-1
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,price,97,102,-1
"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).",BIOS,62,66,-1
"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).",Windows,76,83,-1
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,application,17,28,0
