text,aspect_term,from,to,polarity
" A coupla months later, they change my hard drive.",hard drive,39,49,-1
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,30,42,1
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,74,83,1
They say sorry out of warranty.,warranty,22,30,-1
I bought this laptop because of the performance to price ratio.,performance,36,47,1
I bought this laptop because of the performance to price ratio.,price,51,56,1
PC never worked right even after BIOS fixed.,BIOS,33,37,-1
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",design,114,120,1
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",tech issues,141,152,1
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,size,4,8,1
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,space,107,112,-1
The service I received from Toshiba went above and beyond the call of duty.,service,4,11,1
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",memory,96,102,-1
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",speed,107,112,-1
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",priced,21,27,-1
I would recommend it just because of the internet speed probably because thats the only thing i really care about.,internet speed,41,55,1
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",programs,18,26,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Garageband,92,102,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Photo Booth,123,134,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iPhoto,136,142,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iMovie,176,182,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",video-editing,145,158,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",movie-making,162,174,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",photo management,105,121,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",music,85,90,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Pages,53,58,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Numbers,60,67,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Keynote,69,76,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",school or office use,31,51,0
The screen shows great colors.,screen,4,10,1
The screen shows great colors.,colors,23,29,1
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,90,95,1
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",price,117,122,1
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,220,225,1
"I have no idea how to burn cd's or to use the web cam, just for starters.",web cam,46,53,0
"I have no idea how to burn cd's or to use the web cam, just for starters.",burn cd's,22,31,0
"The 17 inch screen is very large, but the computer is very light.",17 inch screen,4,18,-1
"  My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,89,96,-1
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Bluetooth,8,17,0
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Drivers/Applications DVD,79,103,0
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Launch Manager,57,71,0
I also liked the glass screen.,glass screen,17,29,1
The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card,4,27,1
The switchable graphic card is pretty sweet when you want gaming on the laptop.,gaming,58,64,0
"It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome.",service,149,156,-1
"The battery life has not decreased since I bought it, so i'm thrilled with that.",battery life,4,16,1
"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,136,153,-1
I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.,BOOT MGR,87,95,0
Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd,54,65,-1
The price and features more than met my needs.,price,4,9,1
The price and features more than met my needs.,features,14,22,1
Skype is just so dang cool with this machine too.,Skype,0,5,1
the mouse buttons are hard to push.,mouse buttons,4,17,-1
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",HDD,6,9,1
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",rails,31,36,0
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",hard drive,76,86,0
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,quality,83,90,1
"(Beware, their staff could send you back making you feel that only they know what a computer is.",staff,15,20,-1
Games being the main issue.,Games,0,5,-1
My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,GarageBand,63,73,0
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,warranty,39,47,-1
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,hard drive,55,65,0
and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,129,134,-1
A great computer for light home use and business use.,home use,27,35,1
A great computer for light home use and business use.,business use,40,52,1
"Even with virus protection, it always turned off when updates were needed and installed.",virus protection,10,26,-1
"Even with virus protection, it always turned off when updates were needed and installed.",updates,54,61,-1
"Also consider the MS Office apps are all trial versions, hope you have your own copies.",MS Office apps,18,32,-1
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",feature,74,81,1
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",Windows,103,110,1
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",games,31,36,0
The battery life is amazingly long at 7hrs and 5hrs if you use it.,battery life,4,16,1
"lightweight, long battery life, excellent transition from PC;",battery life,18,30,1
The price is another driving influence that made me purchase this laptop.,price,4,9,1
The Nortons virus scan is only for a very short time unlike others that usually are good for a year.,Nortons virus scan,4,22,-1
It is stamped and not in pieces therefore it is a stronger more resilient frame.,frame,74,79,1
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,features,43,51,1
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,use,64,67,1
Came fully loaded - good.,loaded,11,17,1
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Windows 7,42,51,0
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Vista,67,72,0
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Vista,117,122,-1
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",windows,10,17,0
"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",Vista,133,138,0
"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",key broad,35,44,-1
"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.",warranty,30,38,-1
"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.","repair ""depot""",47,61,-1
  But I needed a laptop for school use.,school use,28,38,0
This is the complete opposite to an ergonomic design.,design,46,52,-1
I would like at least a 4 hr. battery life.,battery life,30,42,0
The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,programs,74,82,-1
"Wireless has not been a issue for me, like some others have meantioned.",Wireless,0,8,1
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",battery life,57,69,-1
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",programs,102,110,-1
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",trackpad,35,43,1
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",programs,88,96,1
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",navigating,49,59,1
I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers,60,68,1
I guess the only good thing that came out of these were the speakers and the subwoofer.,subwoofer,77,86,1
Theres a built in camera with special effects- for video and photography.,built in camera,9,24,1
All for such a great price.,price,21,26,1
"  Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",warranty,220,228,0
Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,left mouse key,45,59,-1
Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,costed,73,79,0
It has good speed and plenty of hard drive space.,speed,12,17,1
It has good speed and plenty of hard drive space.,hard drive space,32,48,1
Clear picture on it and everything.,picture,6,13,1
"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranty,45,62,0
"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranties,88,107,0
Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,battery,15,22,1
"Screen is awesome, battery life is good.",Screen,0,6,1
"Screen is awesome, battery life is good.",battery life,19,31,1
The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,appearance,46,56,1
The technical service for dell is so 3rd world it might as well not even bother.,technical service for dell,4,30,-1
The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,graphics,4,12,-1
The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,warranty,32,40,-1
"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",battery,71,78,-1
"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.",case,62,66,1
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",performance,40,51,0
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",price,79,84,1
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",look,110,114,1
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",applications,122,134,1
Excellent speed for processing data.,speed,10,15,1
When you call tech support you were routed to someone who was in another country and did not know what they were doing.,tech support,14,26,-1
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",gaming,118,124,1
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",use,22,25,1
I was taught to use Photoshop and was amazed.,Photoshop,20,29,1
Somehow the system clock got messed up after reboot.,system clock,12,24,-1
"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",RAM,43,46,-1
With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.,securitysoftware,39,55,1
"The driver updates don't fix the issue, very frustrating.",driver updates,4,18,-1
I will never go back to Windows!,Windows,24,31,-1
It doesnt work worth a damn.,work,10,14,-1
It works really well.,works,3,8,1
"Bigger HD, better graphics card, and a bid HD.",HD,7,9,1
"Bigger HD, better graphics card, and a bid HD.",HD,43,45,1
"Bigger HD, better graphics card, and a bid HD.",graphics card,18,31,1
The built in camera is very useful when chatting with other techs in remote buildings on our campus.,built in camera,4,19,1
"Mine came at $1,700 w/o a DVD burner (!).",DVD burner,26,36,-1
The DVD burner broke after burning 3 DVD'd during that time!,DVD burner,4,14,-1
It works fine with our wireless and they've had not problems.,works,3,8,1
But you must get the 15 inch.,15 inch,21,28,1
Product support very poor as each phone call costs me long distan,Product support,0,15,-1
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",screen,46,52,1
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",use,37,40,1
  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.,casing of the power cord,6,30,-1
It does not keep internet signals no matter where you bring it.,internet signals,17,33,-1
It's a great product for a great price!,price,33,38,1
"Again, the same problem, the right speaker did not work.",right speaker,29,42,-1
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,software,101,109,1
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,updates,170,177,1
and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.,multiple page viewer,8,28,1
This was the 3rd day and part still had not been shipped.,shipped,49,56,-1
Keyboard good sized and wasy to use.,Keyboard,0,8,1
Keyboard good sized and wasy to use.,use,32,35,1
HP said it was out of warranty.,warranty,22,30,0
"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.",quality,25,32,-1
wonderful features.,features,10,18,1
I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.,recovery disk,31,44,-1
Im glad that it has such great features in it.,features,31,39,1
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,programs,13,21,1
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,Office,34,40,-1
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,Office programs,106,121,0
Great wifi too.,wifi,6,10,1
"WHEN TYPING, LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES.",TYPING,5,11,-1
"  Only a few days after I received the computer back, the screen froze again.",screen,58,64,-1
It is not ideal for children because of the temp.,temp,44,48,-1
Although i do believe that Windows operating system may be to fault for some of the problems.,Windows operating system,27,51,-1
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS,6,8,1
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",processor speed,68,83,1
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",thunderbolt port,99,115,1
  The lcd screen stopped working on mine after 10 months.,lcd screen,6,16,-1
Images are crisp and clean.,Images,0,6,1
although its windows vista compared to windows xp sucks.,windows vista,13,26,-1
although its windows vista compared to windows xp sucks.,windows xp,39,49,1
"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Vista,37,42,-1
"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Adobe Flash player,52,70,-1
"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Internet Explore,129,145,-1
"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Windows update,215,229,-1
"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",update,326,332,-1
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,9,15,-1
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,102,108,-1
"One more tip, please purchase this model and get a 4GB stick of RAM to save you $10",4GB stick of RAM,51,67,1
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,hardrive,39,47,-1
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,touch control buttons,71,92,-1
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,keyboard,100,108,-1
I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,performance,98,109,1
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iLife software,53,67,1
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iPhoto,88,94,1
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iMovie,96,102,1
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iWeb,104,108,1
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iTunes,110,116,1
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",GarageBand,118,128,1
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",runs,13,17,1
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,system board,51,63,-1
"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",size,74,78,0
"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",software,80,88,0
"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",hardware,99,107,0
"It has plenty of memory, lots of hard drive, and great graphics.",memory,17,23,1
"It has plenty of memory, lots of hard drive, and great graphics.",hard drive,33,43,1
"It has plenty of memory, lots of hard drive, and great graphics.",graphics,55,63,1
It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,programs,64,72,1
It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,navigation,77,87,1
"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",hinge,51,56,-1
"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",LCD,100,103,0
My problem was with DELL Customer Service.,DELL Customer Service,20,41,-1
"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.",RMA service,9,20,1
Design: very durable.,Design,0,6,1
It is easy to go from one keyboard to another.,keyboard,26,34,0
Has a 5-6 hour battery life.,battery life,15,27,0
My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,screen/video resolution,27,50,-1
My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,resolution,78,88,-1
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",applications,94,106,0
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Dreamweaver,6,17,0
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Final Cut Pro 7,19,34,0
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Photoshop,36,45,0
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Safari,47,53,0
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Firefox,55,62,0
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",MSN Messenger,64,77,0
"  I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.",warrenty,131,139,-1
Ive had to call tech support many times.,tech support,16,28,0
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",Apple applications,4,22,1
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",iPhoto,27,33,1
Not to mention it has shit gigs.,gigs,27,31,-1
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",memory,17,23,0
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",17-inch screen,32,46,0
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",DVD,79,82,1
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",CD burners,87,97,1
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",web browsing,66,78,1
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",uploading photos,80,96,1
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",watching movies,98,113,1
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",creating presentations,137,159,1
"Quality Display  I love HP,, it's the only computer/printer we will buy.",Quality Display,0,15,1
"Despite the inconvenient weight, I opted for the 12 cell battery.",12 cell battery,49,64,1
The case is carved out of a single block of aluminum.,case,4,8,0
     First it burned or fused the power adapter plug.,power adapter plug,34,52,-1
"the features are great, the only thing it needs is better speakers.",features,4,12,1
"the features are great, the only thing it needs is better speakers.",speakers,58,66,-1
"It was still working, but there was nothing on the screen.",screen,51,57,-1
I bought this laptop and found its TAB is not functioning.,TAB,35,38,-1
  Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.,extended warrenty,47,64,-1
"-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3).",TFT panel,45,54,-1
"Navigation through the computer is far superior compared to Windows operating systems, as well.",Navigation,0,10,1
"Navigation through the computer is far superior compared to Windows operating systems, as well.",Windows operating systems,60,85,-1
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen,4,10,-1
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen size,95,106,-1
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",bulk,125,129,-1
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",music software,31,45,-1
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",software,85,93,1
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",picture,11,18,-1
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",video,20,25,-1
The much lauded combined touch pad and clicker is a nightmare.,combined touch pad and clicker,16,46,-1
"The Unibody construction is solid, sleek and beautiful.",Unibody construction,4,24,1
This MacBook is an outstanding product with great value.,value,50,55,1
I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,Windows,20,27,-1
I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,screen hinges,95,108,-1
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,BATTERY,30,37,-1
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,SERVICE,140,147,-1
and plenty of storage with 250 gb(though I will upgrade this and the ram..),storage,14,21,1
and plenty of storage with 250 gb(though I will upgrade this and the ram..),ram,69,72,0
"No temporary replacement, they are out of replacements because ""many computers had problems with the Nvidia chipset""-Inquired status of repair.",Nvidia chipset,101,115,-1
I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.,extended warranty,83,100,0
"Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.",Programs,0,8,-1
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,CHARGE TIME,30,41,-1
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",size,21,25,-1
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",consistancy,30,41,-1
"the key bindings take a little getting used to, but have loved the Macbook Pro.",key bindings,4,16,-1
Keyboard is reasonable size.,Keyboard,0,8,1
Keyboard is reasonable size.,size,23,27,1
I find myself using the 10-key more than I thought I would.,10-key,24,30,1
Fan noise: The fan made a constant hissing noise in the background.,Fan,0,3,-1
Fan noise: The fan made a constant hissing noise in the background.,fan,15,18,-1
"The screen is bright and clear, the operating system is solid and friendly to a novice.",screen,4,10,1
"The screen is bright and clear, the operating system is solid and friendly to a novice.",operating system,36,52,1
It has a .1 ghz faster processor and a stock 500gb hard drive.,processor,23,32,1
It has a .1 ghz faster processor and a stock 500gb hard drive.,500gb hard drive,45,61,1
The feature are good enough for what I need.,feature,4,11,1
"Finally, the biggest problem has been tech support.",tech support,38,50,-1
""" This isn't a big deal, I haven't noticed the issue with DVDs or other media, only through USB output.",USB output,92,102,-1
With Windows laptops a wireless mouse is an absolute must.,wireless mouse,23,37,0
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",size,57,61,1
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",screen,74,80,1
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Windows,14,21,0
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Linux,22,27,0
But if you're willing to pay another 200 dollar for a windows disc.,windows disc,54,66,0
Very good quality and well made.,quality,10,17,1
"I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.",touchpad,86,94,1
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,video card,102,112,0
It had the full sized touch pad with 2 buttons instead of just one.,touch pad,22,31,0
"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",external mouse,65,79,0
It was super easy to set up and Is really easy to get used to.,set up,21,27,1
